DateTime,Active market wallets,Sales USD
2022-06-04 00:00:00,98,3080483.56
2022-06-05 00:00:00,81,2886587.31
2022-06-06 00:00:00,97,6684222.03
2022-06-07 00:00:00,115,6830581.83
2022-06-08 00:00:00,149,3802375.19
2022-06-09 00:00:00,102,4744212.27
2022-06-10 00:00:00,97,3810581.39
2022-06-11 00:00:00,122,3804954.75
2022-06-12 00:00:00,154,3850047.14
2022-06-13 00:00:00,455,11366447.02
2022-06-14 00:00:00,340,8336960.67
2022-06-15 00:00:00,237,5949821.72
2022-06-16 00:00:00,161,4973027.02
2022-06-17 00:00:00,148,3674509.69
2022-06-18 00:00:00,187,3871117.81
2022-06-19 00:00:00,163,4088340.65
2022-06-20 00:00:00,163,4104386.36
2022-06-21 00:00:00,144,3891234.22
2022-06-22 00:00:00,106,2973273.64
2022-06-23 00:00:00,101,1810330.54
2022-06-24 00:00:00,136,3105962.1
2022-06-25 00:00:00,97,2535975.7
2022-06-26 00:00:00,136,3915231.31
2022-06-27 00:00:00,142,4692643.65
2022-06-28 00:00:00,131,5226220.48
2022-06-29 00:00:00,122,2855309.42
2022-06-30 00:00:00,112,3831794.95
2022-07-01 00:00:00,139,4068770.09
2022-07-02 00:00:00,98,2053330.25
2022-07-03 00:00:00,96,2397743.9
2022-07-04 00:00:00,91,2098832.79
2022-07-05 00:00:00,116,2383153.81
2022-07-06 00:00:00,120,3985342.62
2022-07-07 00:00:00,177,6034578.86
2022-07-08 00:00:00,149,5618130.31
2022-07-09 00:00:00,284,5135777.11
2022-07-10 00:00:00,182,4907739.31
2022-07-11 00:00:00,144,2686795.92
2022-07-12 00:00:00,133,3764800.67
2022-07-13 00:00:00,120,4714793.64
2022-07-14 00:00:00,104,2970503.42
2022-07-15 00:00:00,75,2606242.4
2022-07-16 00:00:00,108,2954347.27
2022-07-17 00:00:00,95,2755271.98
2022-07-18 00:00:00,103,3320567.65
2022-07-19 00:00:00,105,3739653.55
2022-07-20 00:00:00,73,2942065.11
2022-07-21 00:00:00,114,4608010.95
2022-07-22 00:00:00,89,3251284.9
2022-07-23 00:00:00,81,2095023.43
2022-07-24 00:00:00,81,2222009.6
2022-07-25 00:00:00,95,2900934.55
2022-07-26 00:00:00,110,3085402.28
2022-07-27 00:00:00,111,2720172.84
2022-07-28 00:00:00,138,3828198.94
2022-07-29 00:00:00,111,4445482.98
2022-07-30 00:00:00,73,2930130.39
2022-07-31 00:00:00,82,1397007.99
2022-08-01 00:00:00,91,2420488.8
2022-08-02 00:00:00,83,2213452.33
2022-08-03 00:00:00,94,2370123.15
2022-08-04 00:00:00,122,3396503.58
2022-08-05 00:00:00,108,4162470.48
2022-08-06 00:00:00,95,2241425.14
2022-08-07 00:00:00,176,3556817.03
2022-08-08 00:00:00,87,2079872.52
2022-08-09 00:00:00,104,3047021.06
2022-08-10 00:00:00,115,4402065.76
2022-08-11 00:00:00,103,3564998.45
2022-08-12 00:00:00,88,3315004.8
2022-08-13 00:00:00,105,2796815.22
2022-08-14 00:00:00,112,2795428.19
2022-08-15 00:00:00,129,3229857.34
2022-08-16 00:00:00,130,4216349.46
2022-08-17 00:00:00,114,5233984.88
2022-08-18 00:00:00,93,3273243.57
2022-08-19 00:00:00,154,3397805.89
2022-08-20 00:00:00,157,4096238.97
2022-08-21 00:00:00,209,5543938.73
2022-08-22 00:00:00,167,3925929.09
2022-08-23 00:00:00,121,2972186.28
2022-08-24 00:00:00,135,5499739.58
2022-08-25 00:00:00,180,7273058.59
2022-08-26 00:00:00,137,4862080.84
2022-08-27 00:00:00,105,3841304.59
2022-08-28 00:00:00,103,2148595.4
2022-08-29 00:00:00,76,1993466.07
2022-08-30 00:00:00,97,2885513.75
2022-08-31 00:00:00,89,2961195
2022-09-01 00:00:00,63,1010657.74
2022-09-02 00:00:00,80,2050487.34
2022-09-03 00:00:00,66,1177976.58
2022-09-04 00:00:00,33,512706.96
2022-09-05 00:00:00,65,2285609.77
2022-09-06 00:00:00,78,1863455.59
2022-09-07 00:00:00,69,2337120.35
2022-09-08 00:00:00,85,2880852.44
