"DateTime","Unique buyers","Sales USD"
"2022-06-04 00:00:00",56,3080483.56
"2022-06-05 00:00:00",42,2886587.31
"2022-06-06 00:00:00",53,6684222.03
"2022-06-07 00:00:00",63,6830581.83
"2022-06-08 00:00:00",85,3802375.19
"2022-06-09 00:00:00",63,4744212.27
"2022-06-10 00:00:00",52,3810581.39
"2022-06-11 00:00:00",67,3804954.75
"2022-06-12 00:00:00",84,3850047.14
"2022-06-13 00:00:00",263,11366447.02
"2022-06-14 00:00:00",196,8336960.67
"2022-06-15 00:00:00",143,5949821.72
"2022-06-16 00:00:00",86,4973027.02
"2022-06-17 00:00:00",86,3674509.69
"2022-06-18 00:00:00",99,3871117.81
"2022-06-19 00:00:00",98,4088340.65
"2022-06-20 00:00:00",87,4104386.36
"2022-06-21 00:00:00",83,3891234.22
"2022-06-22 00:00:00",59,2973273.64
"2022-06-23 00:00:00",55,1810330.54
"2022-06-24 00:00:00",80,3105962.1
"2022-06-25 00:00:00",54,2535975.7
"2022-06-26 00:00:00",74,3915231.31
"2022-06-27 00:00:00",77,4692643.65
"2022-06-28 00:00:00",75,5226220.48
"2022-06-29 00:00:00",69,2855309.42
"2022-06-30 00:00:00",64,3831794.95
"2022-07-01 00:00:00",79,4068770.09
"2022-07-02 00:00:00",47,2053330.25
"2022-07-03 00:00:00",58,2397743.9
"2022-07-04 00:00:00",49,2098832.79
"2022-07-05 00:00:00",62,2383153.81
"2022-07-06 00:00:00",66,3985342.62
"2022-07-07 00:00:00",99,6034578.86
"2022-07-08 00:00:00",91,5618130.31
"2022-07-09 00:00:00",149,5135777.11
"2022-07-10 00:00:00",102,4907739.31
"2022-07-11 00:00:00",81,2686795.92
"2022-07-12 00:00:00",78,3764800.67
"2022-07-13 00:00:00",73,4714793.64
"2022-07-14 00:00:00",56,2970503.42
"2022-07-15 00:00:00",41,2606242.4
"2022-07-16 00:00:00",59,2954347.27
"2022-07-17 00:00:00",54,2755271.98
"2022-07-18 00:00:00",56,3320567.65
"2022-07-19 00:00:00",59,3739653.55
"2022-07-20 00:00:00",40,2942065.11
"2022-07-21 00:00:00",65,4608010.95
"2022-07-22 00:00:00",50,3251284.9
"2022-07-23 00:00:00",47,2095023.43
"2022-07-24 00:00:00",44,2222009.6
"2022-07-25 00:00:00",52,2900934.55
"2022-07-26 00:00:00",65,3085402.28
"2022-07-27 00:00:00",57,2720172.84
"2022-07-28 00:00:00",75,3828198.94
"2022-07-29 00:00:00",66,4445482.98
"2022-07-30 00:00:00",44,2930130.39
"2022-07-31 00:00:00",42,1397007.99
